date,holiday_name
2026-01-01,Ano Novo
2026-03-03,Carnaval (opcional)
2026-04-03,Sexta-feira Santa
2026-04-05,Páscoa
2026-04-25,Dia da Liberdade
2026-05-01,Dia do Trabalhador
2026-06-04,Corpo de Deus
2026-06-10,Dia de Portugal
2026-06-24,São João (feriado municipal)
2026-08-15,Assunção de Maria
2026-10-05,Implantação da República
2026-11-01,Dia de Todos-os-Santos
2026-12-01,Restauração da Independência
2026-12-08,Imaculada Conceição
2026-12-25,Natal
2027-01-01,Ano Novo
2027-02-09,Carnaval (opcional)
2027-03-26,Sexta-feira Santa
2027-03-28,Páscoa
2027-04-25,Dia da Liberdade
2027-05-01,Dia do Trabalhador
2027-05-27,Corpo de Deus
2027-06-10,Dia de Portugal
2027-06-24,São João (feriado municipal)
2027-08-15,Assunção de Maria
2027-10-05,Implantação da República
2027-11-01,Dia de Todos-os-Santos
2027-12-01,Restauração da Independência
2027-12-08,Imaculada Conceição
2027-12-25,Natal
