date,day_of_week,is_weekend,is_holiday,staff_on_duty,top_product,avg_margin,seasonality,daily_sales,daily_profit,is_easter_week,is_christmas_week
2015-01-01,4,0,1,0,smartphones,0.0,store_closed,0.0,0.0,0,0
2015-01-02,5,0,0,9,fiber packages,0.28,post_holiday_dip,18557.9,5196.21,0,0
2015-01-03,6,1,0,14,smartphones,0.19,post_holiday_dip,22315.18,4239.88,0,0
2015-01-04,0,1,0,10,accessories,0.28,post_holiday_dip,22025.68,6167.19,0,0
2015-01-05,1,0,0,5,smartphones,0.16,post_holiday_dip,16931.23,2709.0,0,0
2015-01-06,2,0,0,6,smartphones,0.18,post_holiday_dip,16041.49,2887.47,0,0
2015-01-07,3,0,0,7,accessories,0.29,post_holiday_dip,18702.66,5423.77,0,0
2015-01-08,4,0,0,9,fiber packages,0.26,post_holiday_dip,17439.7,4534.32,0,0
2015-01-09,5,0,0,7,accessories,0.29,post_holiday_dip,18165.66,5268.04,0,0
2015-01-10,6,1,0,15,fiber packages,0.26,post_holiday_dip,20639.84,5366.36,0,0
2015-01-11,0,1,0,15,fiber packages,0.29,post_holiday_dip,20865.28,6050.93,0,0
2015-01-12,1,0,0,5,fiber packages,0.26,post_holiday_dip,16897.66,4393.39,0,0
2015-01-13,2,0,0,4,accessories,0.26,post_holiday_dip,16866.0,4385.16,0,0
2015-01-14,3,0,0,6,IoT devices,0.24,post_holiday_dip,18009.87,4322.37,0,0
2015-01-15,4,0,0,8,accessories,0.25,post_holiday_dip,17628.89,4407.22,0,0
2015-01-16,5,0,0,6,smartphones,0.19,post_holiday_dip,18815.14,3574.88,0,0
2015-01-17,6,1,0,14,fiber packages,0.3,post_holiday_dip,20577.5,6173.25,0,0
2015-01-18,0,1,0,14,smartphones,0.2,post_holiday_dip,22054.55,4410.91,0,0
2015-01-19,1,0,0,5,IoT devices,0.21,post_holiday_dip,16417.44,3447.66,0,0
2015-01-20,2,0,0,4,fiber packages,0.28,post_holiday_dip,16254.93,4551.38,0,0
2015-01-21,3,0,0,8,accessories,0.28,post_holiday_dip,17240.95,4827.47,0,0
2015-01-22,4,0,0,9,smartphones,0.16,post_holiday_dip,17547.24,2807.56,0,0
